Team,GP,total,total_average,pass,pass_average,rush,rush_average,pts,pts_average,yards rank,points rank,Combined
Kansas City Chiefs,17,"4,926",289.8,"3,001",176.5,"1,925",113.2,294,17.3,31,31,62
Baltimore Ravens,17,"5,123",301.4,"3,263",191.9,"1,860",109.4,280,16.5,27,32,59
Dallas Cowboys,17,"5,095",299.7,"3,185",187.4,"1,910",112.4,315,18.5,28,28,56
San Francisco 49ers,17,"5,167",303.9,"3,642",214.2,"1,525",89.7,298,17.5,25,30,55
Buffalo Bills,17,"5,222",307.2,"3,342",196.6,"1,880",110.6,311,18.3,24,29,53
Cleveland Browns,17,"4,593",270.2,"2,800",164.7,"1,793",105.5,362,21.3,32,19,51
New York Jets,17,"4,969",292.3,"2,861",168.3,"2,108",124,355,20.9,30,21,51
New Orleans Saints,17,"5,562",327.2,"3,524",207.3,"2,038",119.9,327,19.2,20,25,45
New England Patriots,17,"5,127",301.6,"3,543",208.4,"1,584",93.2,366,21.5,26,18,44
Las Vegas Raiders,17,"5,625",330.9,"3,610",212.4,"2,015",118.5,331,19.5,18,24,42
Houston Texans,17,"5,622",330.7,"3,979",234.1,"1,643",96.6,353,20.8,19,22,41
Green Bay Packers,17,"5,696",335.1,"3,515",206.8,"2,181",128.3,350,20.6,15,23,38
Pittsburgh Steelers,17,"5,816",342.1,"3,860",227.1,"1,956",115.1,324,19.1,12,26,38
Atlanta Falcons,17,"5,458",321.1,"3,449",202.9,"2,009",118.2,373,21.9,22,15,37
Minnesota Vikings,17,"5,664",333.2,"3,986",234.5,"1,678",98.7,362,21.3,17,19,36
Tampa Bay Buccaneers,17,"5,852",344.2,"4,232",248.9,"1,620",95.3,325,19.1,10,26,36
Miami Dolphins,17,"5,411",318.3,"3,761",221.2,"1,650",97.1,391,23,23,11,34
Chicago Bears,17,"5,511",324.2,"4,043",237.8,"1,468",86.4,379,22.3,21,13,34
Carolina Panthers,17,"4,997",293.9,"2,916",171.5,"2,081",122.4,416,24.5,29,4,33
Tennessee Titans,17,"5,697",335.1,"3,866",227.4,"1,831",107.7,367,21.6,15,17,32
Los Angeles Rams,17,"5,744",337.9,"3,928",231.1,"1,816",106.8,377,22.2,13,14,27
Jacksonville Jaguars,17,"5,828",342.8,"4,076",239.8,"1,752",103.1,371,21.8,11,16,27
Detroit Lions,17,"5,714",336.1,"4,205",247.4,"1,509",88.8,395,23.2,14,10,24
Indianapolis Colts,17,"5,947",349.8,"3,842",226,"2,105",123.8,415,24.4,9,5,14
Los Angeles Chargers,17,"6,170",362.9,"4,246",249.8,"1,924",113.2,398,23.4,5,9,14
Cincinnati Bengals,17,"6,368",374.6,"4,223",248.4,"2,145",126.2,384,22.6,2,12,14
New York Giants,17,"6,149",361.7,"3,898",229.3,"2,251",132.4,407,23.9,6,7,13
Seattle Seahawks,17,"6,313",371.4,"3,961",233,"2,352",138.4,402,23.6,3,8,11
Arizona Cardinals,17,"6,047",355.7,"3,613",212.5,"2,434",143.2,455,26.8,8,2,10
Philadelphia Eagles,17,"6,054",356.1,"4,296",252.7,"1,758",103.4,428,25.2,7,3,10
Denver Broncos,17,"6,303",370.8,"3,972",233.6,"2,331",137.1,413,24.3,4,6,10
Washington Commanders,17,"6,612",388.9,"4,457",262.2,"2,155",126.8,518,30.5,1,1,2