Alabama,62,1441170,0.62,0
Alaska,52.8,189951,0.528,1
Arizona,49.1,1661686,0.491,1
Arkansas,62.4,760647,0.624,0
California,34.3,6006429,0.343,1
Colorado,41.9,1364607,0.419,1
Connecticut,39.2,714717,0.392,1
Delaware,39.8,200603,0.398,0
District of Columbia,5.4,18586,0.054,0
Florida,51.2,5668731,0.512,0
Georgia,49.3,2461854,0.493,0
Hawaii,34.3,196864,0.343,0
Idaho,63.9,554119,0.639,0
Illinois,40.6,2446891,0.406,1
Indiana,57,1729516,0.57,0
Iowa,53.1,897672,0.531,0
Kansas,56.2,771406,0.562,0
Kentucky,62.1,1326646,0.621,0
Louisiana,58.5,1255776,0.585,0
Maine,44,360737,0.44,1
Maryland,32.2,976414,0.322,0
Massachusetts,32.1,1167202,0.321,1
Michigan,47.8,2649852,0.478,1
Minnesota,45.3,1484065,0.453,0
Mississippi,57.6,756789,0.576,0
Missouri,56.8,1718736,0.568,0
Montana,56.9,343602,0.569,1
Nebraska,58.5,556846,0.585,0
Nevada,47.7,669890,0.477,1
New Hampshire,45.4,365654,0.454,0
New Jersey,41.4,1883274,0.414,1
New Mexico,43.5,401894,0.435,1
New York,37.7,3251997,0.377,1
North Carolina,49.9,2758775,0.499,0
North Dakota,65.1,235595,0.651,0
Ohio,53.3,3154834,0.533,0
Oklahoma,65.4,1020280,0.654,0
Oregon,40.4,958448,0.404,1
Pennsylvania,48.8,3377674,0.488,0
Rhode Island,38.6,199922,0.386,0
South Carolina,55.1,1385103,0.551,0
South Dakota,61.8,261043,0.618,0
Tennessee,60.7,1852475,0.607,0
Texas,52.1,5890347,0.521,0
Utah,58.1,865140,0.581,0
Vermont,30.7,112704,0.307,1
Virginia,44,1962430,0.44,0
Washington,38.8,1584651,0.388,1
West Virginia,68.6,545382,0.686,0
Wisconsin,48.8,1610184,0.488,0
Wyoming,69.9,193559,0.699,0